         7279318 function calls (6904418 primitive calls) in 2.626 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      309    0.003    0.000    0.003    0.000 {built-in method nt.stat}
9570/4521    0.003    0.000    0.039    0.000 {built-in method builtins.next}
     4094    0.003    0.000    0.162    0.000 primary.py:229(receiver)
    14276    0.002    0.000    0.002    0.000 {method 'lower' of 'str' objects}
    19457    0.002    0.000    0.002    0.000 {built-in method builtins.setattr}
     2185    0.002    0.000    0.005    0.000 dsn.py:111(relativefy)
     8860    0.002    0.000    0.002    0.000 trait.py:117(get)
     4401    0.002    0.000    0.222    0.000 environment.py:978(get_template)
      307    0.002    0.000    0.152    0.000 py2cpp.py:1140(analyze_func_call_spec)
     3647    0.002    0.000    0.004    0.000 path.py:21(identify)
   2376/1    0.002    0.000    1.958    1.958 procedure.py:55(exec)
      622    0.002    0.000    0.152    0.000 py2cpp.py:865(on_var)
     4777    0.002    0.000    0.017    0.000 statement_compound.py:590(decorators)
  313/101    0.002    0.000    0.065    0.001 parser.py:988(subparse)
    21404    0.002    0.000    0.002    0.000 memo2.py:31(__init__)
     1665    0.002    0.000    0.152    0.000 reflections.py:452(on_var)
     2847    0.002    0.000    0.002    0.000 defer.py:46(__init__)
 1641/390    0.002    0.000    0.013    0.000 optimizer.py:31(generic_visit)
4755/4417    0.002    0.000    0.356    0.000 reflections.py:245(__resolve_raw)
    19428    0.002    0.000    0.002    0.000 {method 'keys' of 'dict' objects}
    14015    0.002    0.000    0.002    0.000 resolver.py:54(can_resolve)
     2268    0.002    0.000    0.005    0.000 traits.py:119(_actualize_self)
      849    0.002    0.000    0.023    0.000 template.py:425(build)
     1328    0.002    0.000    0.065    0.000 naming.py:57(domain_name)
   125/19    0.002    0.000    0.063    0.003 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
      723    0.002    0.000    0.036    0.000 template.py:165(returns)
    10419    0.002    0.000    0.002    0.000 middleware.py:89(usable)
      307    0.002    0.000    0.235    0.001 py2cpp.py:978(on_func_call)
    11719    0.002    0.000    0.002    0.000 runtime.py:229(resolve_or_missing)
     3797    0.002    0.000    0.015    0.000 primary.py:236(prop)
     2549    0.002    0.000    0.706    0.000 reflections.py:107(type_of)
     3977    0.002    0.000    0.003    0.000 default.j2:4(root)
     1237    0.002    0.000    0.010    0.000 primary.py:744(is_decl_this_var)
     9435    0.002    0.000    0.003    0.000 node.py:153(can_expand)
     5254    0.002    0.000    0.005    0.000 lexer.py:202(__new__)
     1576    0.002    0.000    0.103    0.000 traits.py:242(prop_of)
     4401    0.002    0.000    0.076    0.000 environment.py:1378(new_context)
     2847    0.002    0.000    0.004    0.000 defer.py:19(new)
    23618    0.002    0.000    0.002    0.000 reflection.py:97(_traits)
    21653    0.002    0.000    0.002    0.000 reflection.py:343(decl)
     2670    0.002    0.000    0.055    0.000 traits.py:101(_actualize_nullable)
    20249    0.002    0.000    0.002    0.000 convertion.py:4(safe_cast)
     5254    0.002    0.000    0.003    0.000 lexer.py:213(_future_new)
    15168    0.002    0.000    0.002    0.000 memo2.py:7(__init__)
    11341    0.002    0.000    0.002    0.000 {method 'group' of 're.Match' objects}
     1568    0.002    0.000    0.040    0.000 primary.py:533(arguments)
    11837    0.002    0.000    0.002    0.000 {method 'write' of '_io.StringIO' objects}
     4502    0.002    0.000    0.002    0.000 nodes.py:76(__init__)
     2376    0.002    0.000    0.003    0.000 procedure.py:99(__result)
        1    0.002    0.002    0.013    0.013 lexer.py:631(__init__)
    12360    0.002    0.000    0.002    0.000 {method 'pop' of 'dict' objects}
     4417    0.002    0.000    0.357    0.000 reflections.py:228(resolve)
     1041    0.002    0.000    0.024    0.000 node.py:503(dirty_child)
     4624    0.002    0.000    0.005    0.000 path.py:42(valid)
     1694    0.002    0.000    0.005    0.000 embed.py:170(dig_for_method)
      756    0.002    0.000    0.064    0.000 traits.py:378(returns)
      849    0.002    0.000    0.007    0.000 traits.py:462(_build_schema)
     1590    0.002    0.000    0.026    0.000 primary.py:767(is_param_class)
     3599    0.002    0.000    0.002    0.000 <frozen _collections_abc>:823(keys)
