         5854691 function calls (5660064 primitive calls) in 1.717 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      890    0.001    0.000    0.013    0.000 node.py:223(__calclation_order)
3927/1863    0.001    0.000    0.013    0.000 {built-in method builtins.next}
     4283    0.001    0.000    0.013    0.000 primary.py:171(domain_name)
      696    0.002    0.000    0.013    0.000 reflection.py:351(build)
    96365    0.013    0.000    0.013    0.000 cache.py:18(exists)
    73196    0.013    0.000    0.013    0.000 {method 'split' of 'str' objects}
29239/24271    0.009    0.000    0.012    0.000 node.py:502(__getattribute__)
     3653    0.003    0.000    0.012    0.000 path.py:169(shift)
     1741    0.000    0.000    0.012    0.000 lexer.py:378(__next__)
    39/35    0.000    0.000    0.012    0.000 parser.py:253(parse_if)
     1116    0.005    0.000    0.012    0.000 {built-in method builtins.sorted}
       21    0.000    0.000    0.011    0.001 py2cpp.py:644(on_comparison)
   138/37    0.000    0.000    0.011    0.000 compiler.py:442(blockvisit)
  160/137    0.000    0.000    0.011    0.000 symbol.py:269(_clone)
   101/80    0.000    0.000    0.011    0.000 parser.py:194(parse_statements)
143536/143395    0.011    0.000    0.011    0.000 {built-in method builtins.len}
     1739    0.002    0.000    0.011    0.000 lexer.py:613(wrap)
     1641    0.001    0.000    0.010    0.000 primary.py:405(arguments)
       16    0.000    0.000    0.010    0.001 symbols.py:337(on_for_in)
    13276    0.005    0.000    0.010    0.000 nodes.py:167(iter_child_nodes)
     5795    0.006    0.000    0.010    0.000 node.py:439(one_of)
     2918    0.002    0.000    0.010    0.000 symbol.py:939(ref)
      165    0.000    0.000    0.010    0.000 finder.py:83(by_symbolic)
      250    0.000    0.000    0.009    0.000 parser.py:678(parse_tuple)
     3066    0.001    0.000    0.009    0.000 primary.py:400(calls)
37208/22495    0.007    0.000    0.009    0.000 symbol.py:532(types)
  309/239    0.000    0.000    0.009    0.000 parser.py:513(parse_expression)
      894    0.000    0.000    0.009    0.000 statement_compound.py:279(alias_symbol)
  309/239    0.000    0.000    0.009    0.000 parser.py:537(parse_or)
    50219    0.009    0.000    0.009    0.000 entry.py:26(name)
  309/239    0.000    0.000    0.008    0.000 parser.py:546(parse_and)
     2645    0.005    0.000    0.008    0.000 lexer.py:667(tokeniter)
    12871    0.007    0.000    0.008    0.000 node.py:30(__init__)
      108    0.000    0.000    0.008    0.000 py2cpp.py:695(proc_binary_operator_expression)
      864    0.000    0.000    0.008    0.000 move_assign.j2:4(root)
     4531    0.001    0.000    0.008    0.000 symbols.py:75(type_of_standard)
  316/243    0.000    0.000    0.008    0.000 parser.py:555(parse_not)
  127/123    0.000    0.000    0.008    0.000 symbol.py:744(clone)
     8169    0.002    0.000    0.008    0.000 path.py:47(elements)
      103    0.000    0.000    0.008    0.000 symbols.py:476(on_var_of_type)
  313/243    0.000    0.000    0.008    0.000 parser.py:561(parse_compare)
        1    0.000    0.000    0.008    0.008 py2cpp.py:186(on_list_comp)
     3683    0.001    0.000    0.008    0.000 path.py:94(last_tag)
   132700    0.008    0.000    0.008    0.000 typing.py:2090(cast)
        5    0.000    0.000    0.007    0.001 symbols.py:567(on_comparison)
     3930    0.002    0.000    0.007    0.000 path.py:76(last)
    38825    0.004    0.000    0.007    0.000 node.py:231(order)
     8425    0.004    0.000    0.007    0.000 procedure.py:242(__is_prop_list_by)
       37    0.000    0.000    0.007    0.000 environment.py:698(_compile)
       37    0.007    0.000    0.007    0.000 {built-in method builtins.compile}
  335/265    0.000    0.000    0.007    0.000 parser.py:584(parse_math1)
      696    0.004    0.000    0.007    0.000 reflection.py:47(__init__)
 2333/410    0.001    0.000    0.007    0.000 visitor.py:44(generic_visit)
     4531    0.002    0.000    0.007    0.000 finder.py:58(by_standard)
  335/265    0.000    0.000    0.007    0.000 parser.py:595(parse_concat)
 3423/223    0.002    0.000    0.007    0.000 nodes.py:193(find_all)
       18    0.000    0.000    0.007    0.000 py2cpp.py:145(on_for)
       26    0.000    0.000    0.007    0.000 py2cpp.py:712(on_doc_string)
  335/265    0.000    0.000    0.007    0.000 parser.py:605(parse_math2)
  335/265    0.000    0.000    0.007    0.000 parser.py:616(parse_pow)
  343/265    0.000    0.000    0.007    0.000 parser.py:626(parse_unary)
    50219    0.007    0.000    0.007    0.000 resolver.py:35(resolve)
    86030    0.006    0.000    0.006    0.000 {built-in method builtins.issubclass}
    39/35    0.000    0.000    0.006    0.000 compiler.py:1296(visit_If)
      548    0.001    0.000    0.006    0.000 py2cpp.py:405(is_class_access)
     9942    0.004    0.000    0.006    0.000 procedure.py:254(__stack_pop)
    70044    0.006    0.000    0.006    0.000 {method 'items' of 'dict' objects}
    25287    0.004    0.000    0.006    0.000 general.py:25(scope)
       95    0.000    0.000    0.006    0.000 py2cpp.py:443(on_indexer)
  232/179    0.000    0.000    0.006    0.000 parser.py:522(parse_condexpr)
     1616    0.000    0.000    0.006    0.000 statement_compound.py:34(scope_part)
     3805    0.002    0.000    0.006    0.000 path.py:10(join)
     1776    0.003    0.000    0.005    0.000 runtime.py:163(__init__)
    31734    0.005    0.000    0.005    0.000 embed.py:25(class_path)
   124/86    0.000    0.000    0.005    0.000 compiler.py:44(new_func)
      591    0.000    0.000    0.005    0.000 py2cpp.py:399(is_on_cvar_relay)
    32983    0.005    0.000    0.005    0.000 {method 'get' of 'dict' objects}
     1739    0.001    0.000    0.005    0.000 environment.py:1489(is_up_to_date)
    64992    0.005    0.000    0.005    0.000 procedure.py:99(__stack)
    41804    0.005    0.000    0.005    0.000 {method 'lower' of 'str' objects}
       22    0.000    0.000    0.005    0.000 parser.py:234(parse_for)
     3406    0.001    0.000    0.005    0.000 path.py:42(valid)
     3105    0.002    0.000    0.005    0.000 node.py:58(__eq__)
     3579    0.001    0.000    0.005    0.000 symbol.py:398(one_of)
