         68508122 function calls (65184661 primitive calls) in 24.793 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    24024    0.008    0.000    7.870    0.000 reflections.py:333(resolve)
    16994    0.008    0.000    0.052    0.000 primary.py:30(value)
    62117    0.008    0.000    0.008    0.000 node.py:465(match_feature)
     9698    0.008    0.000    0.074    0.000 primary.py:667(is_param)
     4428    0.008    0.000    0.029    0.000 template.py:216(make_updates)
    12042    0.008    0.000    0.468    0.000 py2cpp.py:158(to_domain_name_by_class)
    55303    0.008    0.000    0.008    0.000 {method 'pop' of 'dict' objects}
    35697    0.008    0.000    0.016    0.000 environment.py:482(getattr)
13684/106    0.008    0.000    0.101    0.001 visitor.py:35(visit)
    13645    0.008    0.000    0.008    0.000 node.py:501(Proxy)
    25534    0.008    0.000    0.008    0.000 {method 'match' of 're.Pattern' objects}
    18126    0.008    0.000    0.336    0.000 primary.py:126(match_feature)
     9679    0.008    0.000    0.319    0.000 reflection.py:207(__eq__)
     7966    0.008    0.000    0.071    0.000 statement_compound.py:570(__org_inherits)
     2187    0.008    0.000    0.423    0.000 reflections.py:523(on_func_call)
      127    0.008    0.000    0.947    0.007 db.py:166(import_json)
    63689    0.008    0.000    0.008    0.000 {built-in method builtins.iter}
    28455    0.008    0.000    0.015    0.000 __init__.py:1031(__bool__)
    36375    0.008    0.000    0.017    0.000 <frozen abc>:117(__instancecheck__)
     9744    0.008    0.000    0.012    0.000 argument.j2:4(root)
    30200    0.008    0.000    0.086    0.000 primary.py:241(domain_name)
    20634    0.008    0.000    0.013    0.000 i18n.py:35(t)
    12937    0.008    0.000    0.069    0.000 primary.py:737(in_decl_import)
     8074    0.008    0.000    0.012    0.000 environment.py:495(_filter_test_common)
     7259    0.007    0.000    0.080    0.000 element.py:57(arguments)
    18121    0.007    0.000    0.019    0.000 translation.py:4(alias_dsn)
     1415    0.007    0.000    0.197    0.000 py2cpp.py:118(to_accessible_name)
     9504    0.007    0.000    0.325    0.000 reflection.py:82(context)
    29351    0.007    0.000    0.009    0.000 {built-in method builtins.any}
    22933    0.007    0.000    0.007    0.000 reflection.py:390(extends)
     7750    0.007    0.000    0.114    0.000 statement_compound.py:524(inherits)
   110154    0.007    0.000    0.007    0.000 tree.py:28(__init__)
    81421    0.007    0.000    0.007    0.000 reflection.py:91(attrs)
    43808    0.007    0.000    0.007    0.000 {built-in method from_iterable}
    76846    0.007    0.000    0.007    0.000 reflection.py:344(node)
      179    0.007    0.000    0.007    0.000 {built-in method nt._path_exists}
    78363    0.007    0.000    0.007    0.000 reflection.py:359(via)
      128    0.006    0.000    0.743    0.006 cache.py:165(load_cache)
     9069    0.006    0.000    0.008    0.000 template.py:273(__current_key)
     3645    0.006    0.000    0.009    0.000 nodes.py:129(__init__)
    34589    0.006    0.000    0.006    0.000 {method '__exit__' of '_thread.lock' objects}
     4325    0.006    0.000    0.010    0.000 <frozen _collections_abc>:469(__new__)
     4202    0.006    0.000    0.016    0.000 di.py:174(__to_annotated)
     9111    0.006    0.000    0.031    0.000 module.py:16(full_join)
     5437    0.006    0.000    0.044    0.000 lexer.py:615(wrap)
    20326    0.006    0.000    0.066    0.000 primary.py:468(calls)
10255/501    0.006    0.000    0.024    0.000 nodes.py:195(find_all)
     3885    0.006    0.000    0.012    0.000 comment.py:68(__trim_description)
     8074    0.006    0.000    0.024    0.000 filters.py:1776(<lambda>)
9768/7571    0.006    0.000    0.033    0.000 filters.py:1779(select_or_reject)
9168/7429    0.006    0.000    0.011    0.000 utils.py:74(deserialize)
    12057    0.005    0.000    0.048    0.000 primary.py:338(type_name)
      863    0.005    0.000    0.039    0.000 comment.py:48(parse)
     4428    0.005    0.000    0.014    0.000 template.py:238(apply)
      763    0.005    0.000    0.005    0.000 {built-in method _hashlib.openssl_md5}
5125/4428    0.005    0.000    0.034    0.000 reflection.py:170(to_temporary)
     7188    0.005    0.000    0.010    0.000 db.py:32(__setitem__)
    15334    0.005    0.000    0.006    0.000 async_utils.py:24(is_async)
     9498    0.005    0.000    0.320    0.000 primary.py:95(match_feature)
     3061    0.005    0.000    0.012    0.000 <frozen ntpath>:107(join)
      967    0.005    0.000    1.435    0.001 py2cpp.py:389(proc_move_assign_single)
     9547    0.005    0.000    0.105    0.000 primary.py:86(match_feature)
    10655    0.005    0.000    0.091    0.000 primary.py:149(match_feature)
