         216605363 function calls (206138951 primitive calls) in 79.292 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   434985    0.072    0.000    0.072    0.000 resolver.py:54(can_resolve)
88192/87189    0.070    0.000   25.554    0.000 reflections.py:107(type_of)
   341016    0.070    0.000    0.101    0.000 node.py:153(can_expand)
   369235    0.070    0.000    0.115    0.000 utils.py:81(from_obj)
   134660    0.069    0.000    0.546    0.000 primary.py:236(prop)
    11491    0.068    0.000    0.068    0.000 {built-in method nt._path_isfile}
   157474    0.068    0.000    2.789    0.000 environment.py:1378(new_context)
   630364    0.068    0.000    0.068    0.000 memo2.py:31(__init__)
   549648    0.066    0.000    0.066    0.000 entry.py:37(has_child)
    53822    0.065    0.000    4.815    0.000 traits.py:242(prop_of)
   798012    0.065    0.000    0.065    0.000 reflection.py:97(_traits)
    19107    0.064    0.000    1.374    0.000 template.py:165(returns)
   703442    0.062    0.000    0.062    0.000 reflection.py:343(decl)
    23623    0.060    0.000    0.644    0.000 template.py:431(build)
    58890    0.060    0.000    1.254    0.000 primary.py:530(arguments)
    90793    0.060    0.000    0.103    0.000 path.py:21(identify)
    96867    0.059    0.000    0.147    0.000 defer.py:19(new)
    82922    0.059    0.000    0.093    0.000 procedure.py:99(__result)
     9770    0.059    0.000    7.666    0.001 py2cpp.py:1040(on_func_call)
   157626    0.057    0.000    0.078    0.000 nodes.py:76(__init__)
   491850    0.057    0.000    0.057    0.000 memo2.py:7(__init__)
   155834    0.055    0.000    0.185    0.000 path.py:42(valid)
    90237    0.055    0.000    1.809    0.000 traits.py:101(_actualize_nullable)
   209978    0.055    0.000    0.513    0.000 path.py:94(last_tag)
   124173    0.054    0.000    0.069    0.000 <frozen _collections_abc>:823(keys)
   587780    0.054    0.000    0.054    0.000 convertion.py:4(safe_cast)
   107602    0.053    0.000    1.657    0.000 traits.py:47(type_is)
    45377    0.053    0.000    0.109    0.000 dsn.py:111(relativefy)
   150740    0.053    0.000   13.548    0.000 reflections.py:228(resolve)
   375600    0.053    0.000    0.053    0.000 {method 'pop' of 'dict' objects}
    54752    0.052    0.000    0.159    0.000 embed.py:170(dig_for_method)
    97062    0.052    0.000    0.507    0.000 statement_simple.py:13(receivers)
   434526    0.051    0.000    0.051    0.000 {method 'keys' of 'dict' objects}
    31981    0.051    0.000    0.744    0.000 node.py:503(dirty_child)
    54752    0.049    0.000    0.089    0.000 embed.py:98(get_from_method)
     1357    0.049    0.000    0.049    0.000 {method 'read' of '_io.BufferedReader' objects}
    98588    0.049    0.000    0.481    0.000 statement_compound.py:428(decorators)
    24126    0.048    0.000    0.278    0.000 finder.py:238(__find_library_raw)
   138876    0.048    0.000    0.048    0.000 {method 'replace' of 'str' objects}
    27360    0.048    0.000    0.063    0.000 node.py:222(__embed_classes)
    30540    0.048    0.000    1.485    0.000 primary.py:309(domain_name)
    29388    0.048    0.000    0.269    0.000 primary.py:701(is_decl_class_var)
   158908    0.047    0.000    0.079    0.000 resolver.py:23(can_resolve)
47900/47852    0.046    0.000    1.983    0.000 naming.py:119(__alias_or_domain_name)
   158233    0.046    0.000    0.549    0.000 utils.py:463(get)
    47315    0.045    0.000    0.787    0.000 primary.py:765(is_param_class)
   210711    0.045    0.000    0.091    0.000 environment.py:482(getattr)
   336707    0.045    0.000    0.045    0.000 procedure.py:223(__put_log_action)
   181008    0.045    0.000    0.045    0.000 {method 'get' of 'dict' objects}
    11923    0.045    0.000    0.718    0.000 template.py:251(make_updates)
    23623    0.044    0.000    0.213    0.000 traits.py:462(_build_schema)
