         12545431 function calls (12180308 primitive calls) in 3.812 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    48845    0.004    0.000    0.004    0.000 error.py:63(__enter__)
9024/5633    0.004    0.000    0.103    0.000 node.py:127(scope)
     2330    0.004    0.000    0.190    0.000 render.py:44(render)
 2584/835    0.004    0.000    0.009    0.000 sequence.py:34(expand)
     5512    0.004    0.000    0.011    0.000 module.py:96(expanded)
     4649    0.003    0.000    1.646    0.000 node.py:297(__prop_of_nodes)
    10411    0.003    0.000    0.003    0.000 {method 'match' of 're.Pattern' objects}
      541    0.003    0.000    0.006    0.000 template.py:47(__init__)
  5709/58    0.003    0.000    0.045    0.001 visitor.py:35(visit)
     2525    0.003    0.000    0.006    0.000 utils.py:497(__getitem__)
    38958    0.003    0.000    0.003    0.000 reflection.py:288(types)
    16255    0.003    0.000    0.003    0.000 entry.py:55(value)
      914    0.003    0.000    0.184    0.000 serializer.py:61(deserialize)
     8867    0.003    0.000    0.003    0.000 {method 'extend' of 'list' objects}
     2330    0.003    0.000    0.079    0.000 environment.py:1269(render)
     2563    0.003    0.000    0.018    0.000 node.py:264(__ast_order)
     3318    0.003    0.000    0.005    0.000 _parser.py:449(_uniq)
      914    0.003    0.000    0.012    0.000 serializer.py:88(_deserialize_attrs)
    10106    0.003    0.000    0.004    0.000 _parser.py:293(tell)
11327/8497    0.003    0.000    0.025    0.000 {built-in method builtins.next}
     6318    0.003    0.000    0.003    0.000 {method 'mro' of 'type' objects}
     2278    0.003    0.000    0.232    0.000 reflections.py:441(on_var)
     6668    0.003    0.000    0.005    0.000 enum.py:713(__call__)
     3238    0.003    0.000    0.078    0.000 statement_compound.py:518(symbol)
    13666    0.003    0.000    0.003    0.000 {built-in method builtins.min}
     3338    0.003    0.000    0.033    0.000 traits.py:116(_actualize_type)
3432/1321    0.003    0.000    0.097    0.000 node.py:130(factory)
    10470    0.003    0.000    0.007    0.000 query.py:149(<lambda>)
 4488/287    0.003    0.000    0.011    0.000 nodes.py:193(find_all)
    25630    0.003    0.000    0.007    0.000 <frozen _collections_abc>:868(__iter__)
     1529    0.003    0.000    0.004    0.000 nodes.py:127(__init__)
    19332    0.003    0.000    0.003    0.000 memo2.py:33(__init__)
    16915    0.003    0.000    0.003    0.000 _parser.py:256(match)
     1240    0.003    0.000    0.033    0.000 primary.py:636(is_decl_this_var)
     2395    0.003    0.000    0.021    0.000 lexer.py:613(wrap)
     3666    0.003    0.000    0.027    0.000 statement_compound.py:340(_dig_embedder)
     9403    0.003    0.000    0.003    0.000 trait.py:104(get)
    13621    0.003    0.000    0.004    0.000 _parser.py:164(__len__)
     2061    0.003    0.000    0.005    0.000 dsn.py:111(relativefy)
     8222    0.002    0.000    0.004    0.000 resolver.py:96(resolve)
     4382    0.002    0.000    0.088    0.000 node.py:171(parent)
   7797/9    0.002    0.000    0.008    0.001 utils.py:35(_deserialize)
    18482    0.002    0.000    0.002    0.000 entry.py:37(has_child)
    10774    0.002    0.000    0.003    0.000 node.py:151(can_expand)
     9748    0.002    0.000    0.002    0.000 {built-in method __new__ of type object at 0x00007FFB206A98B0}
     3627    0.002    0.000    0.424    0.000 primary.py:231(receiver)
    13158    0.002    0.000    0.002    0.000 resolver.py:57(can_resolve)
     6493    0.002    0.000    0.023    0.000 node.py:108(fullyname)
     3666    0.002    0.000    0.042    0.000 statement_compound.py:332(actual_symbol)
     4382    0.002    0.000    0.085    0.000 query.py:68(parent)
     3593    0.002    0.000    0.094    0.000 statement_compound.py:274(domain_name)
     4227    0.002    0.000    0.003    0.000 lexer.py:213(_future_new)
        1    0.002    0.002    0.005    0.005 lalr_analysis.py:60(deserialize)
     4576    0.002    0.000    0.003    0.000 default.j2:4(root)
     1605    0.002    0.000    0.089    0.000 reflections.py:197(resolve_property)
    14433    0.002    0.000    0.002    0.000 memo2.py:9(__init__)
     1650    0.002    0.000    0.006    0.000 reflection.py:125(to)
    16551    0.002    0.000    0.002    0.000 node.py:83(module_path)
        1    0.002    0.002    0.003    0.003 {built-in method _pickle.load}
     6668    0.002    0.000    0.002    0.000 enum.py:1116(__new__)
     7672    0.002    0.000    0.004    0.000 query.py:43(exists)
     2963    0.002    0.000    0.004    0.000 path.py:21(identify)
 3172/546    0.002    0.000    0.011    0.000 visitor.py:44(generic_visit)
     4062    0.002    0.000    0.016    0.000 statement_compound.py:302(decorators)
       27    0.002    0.000    0.002    0.000 {built-in method marshal.loads}
     2467    0.002    0.000    0.126    0.000 environment.py:950(_load_template)
      829    0.002    0.000    0.190    0.000 py2cpp.py:564(on_var)
     3248    0.002    0.000    0.014    0.000 statement_compound.py:526(decorators)
    16457    0.002    0.000    0.002    0.000 {method 'keys' of 'dict' objects}
      613    0.002    0.000    0.023    0.000 py2cpp.py:534(analyze_relay_spec)
     2563    0.002    0.000    0.003    0.000 procedure.py:100(__result)
     3331    0.002    0.000    0.003    0.000 _parser.py:231(__init__)
    18222    0.002    0.000    0.002    0.000 entry.py:12(__init__)
     1975    0.002    0.000    0.002    0.000 {method 'remove' of 'collections.deque' objects}
     3254    0.002    0.000    0.059    0.000 traits.py:47(type_is)
    18048    0.002    0.000    0.002    0.000 reflection.py:337(decl)
      314    0.002    0.000    0.152    0.000 py2cpp.py:783(analyze_func_call_spec)
     3547    0.002    0.000    0.016    0.000 primary.py:236(prop)
     5709    0.002    0.000    0.003    0.000 visitor.py:28(get_visitor)
    18579    0.002    0.000    0.002    0.000 convertion.py:6(safe_cast)
     2762    0.002    0.000    0.052    0.000 traits.py:86(_actualize_nullable)
     4416    0.002    0.000    0.008    0.000 path.py:42(valid)
     1099    0.002    0.000    0.011    0.000 primary.py:601(is_decl_class_var)
     3340    0.002    0.000    0.003    0.000 compiler.py:453(write)
     1144    0.002    0.000    0.028    0.000 node.py:510(dirty_child)
      477    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:96(_path_join)
     6658    0.002    0.000    0.002    0.000 _compiler.py:570(isstring)
     4227    0.002    0.000    0.005    0.000 lexer.py:202(__new__)
     9437    0.002    0.000    0.002    0.000 reflection.py:16(__init__)
     1147    0.002    0.000    0.021    0.000 primary.py:652(is_param_class)
     1254    0.002    0.000    0.167    0.000 primary.py:477(arguments)
     4936    0.001    0.000    0.003    0.000 resolver.py:25(can_resolve)
      541    0.001    0.000    0.027    0.000 template.py:326(build)
     1097    0.001    0.000    0.049    0.000 naming.py:39(domain_name)
     3358    0.001    0.000    0.004    0.000 _compiler.py:398(_simple)
    11241    0.001    0.000    0.001    0.000 {built-in method builtins.iter}
   189/58    0.001    0.000    0.038    0.001 parser.py:979(subparse)
     2467    0.001    0.000    0.128    0.000 environment.py:975(get_template)
    11012    0.001    0.000    0.001    0.000 procedure.py:269(__put_log_action)
    15711    0.001    0.000    0.001    0.000 reflection.py:96(_traits)
     3318    0.001    0.000    0.001    0.000 {built-in method fromkeys}
     6885    0.001    0.000    0.001    0.000 {method 'pop' of 'dict' objects}
     4278    0.001    0.000    0.002    0.000 lexer.py:275(test)
     6353    0.001    0.000    0.001    0.000 runtime.py:227(resolve_or_missing)
     3353    0.001    0.000    0.020    0.000 path.py:52(escaped_origin)
     4167    0.001    0.000    0.012    0.000 primary.py:243(domain_name)
     1126    0.001    0.000    0.011    0.000 primary.py:668(is_param_this)
     1144    0.001    0.000    0.002    0.000 sequence.py:22(last_index_of)
        1    0.001    0.001    0.011    0.011 lexer.py:631(__init__)
     2363    0.001    0.000    0.002    0.000 traits.py:128(_actualize_self)
     6808    0.001    0.000    0.001    0.000 _parser.py:113(__init__)
     9142    0.001    0.000    0.001    0.000 base.py:181(__init__)
     2562    0.001    0.000    0.898    0.000 reflections.py:293(__resolve_procedural)
     1140    0.001    0.000    0.357    0.000 primary.py:23(label)
     4936    0.001    0.000    0.013    0.000 path.py:94(last_tag)
      458    0.001    0.000    0.014    0.000 template.py:159(returns)
     3329    0.001    0.000    0.001    0.000 _parser.py:953(fix_flags)
     6740    0.001    0.000    0.002    0.000 _parser.py:83(groups)
    11799    0.001    0.000    0.001    0.000 {built-in method builtins.setattr}
      613    0.001    0.000    0.032    0.000 primary.py:220(match_feature)
     2467    0.001    0.000    0.041    0.000 environment.py:1375(new_context)
     2330    0.001    0.000    0.001    0.000 <frozen _collections_abc>:819(keys)
      314    0.001    0.000    0.192    0.001 py2cpp.py:678(on_func_call)
     1591    0.001    0.000    0.010    0.000 primary.py:735(in_decl_alt_class_type)
     3367    0.001    0.000    1.064    0.000 __init__.py:226(compile)
     1533    0.001    0.000    0.163    0.000 general.py:48(whole_by)
      177    0.001    0.000    0.008    0.000 compiler.py:1479(visit_Output)
     1733    0.001    0.000    0.001    0.000 node.py:500(Proxy)
      688    0.001    0.000    0.010    0.000 template.py:210(unpack_templates)
  639/167    0.001    0.000    0.005    0.000 visitor.py:61(generic_visit)
     2363    0.001    0.000    0.005    0.000 traits.py:104(_actualize_alt_class)
  448/399    0.001    0.000    0.027    0.000 naming.py:188(__make_impl)
      253    0.001    0.000    0.032    0.000 py2cpp.py:103(to_accessible_name)
     3462    0.001    0.000    0.002    0.000 lexer.py:559(<lambda>)
       11    0.001    0.000    0.187    0.017 db.py:170(import_json)
     1496    0.001    0.000    0.009    0.000 primary.py:723(in_decl_class_type)
      459    0.001    0.000    0.063    0.000 traits.py:271(returns)
     2525    0.001    0.000    0.001    0.000 nodes.py:74(__init__)
  639/167    0.001    0.000    0.005    0.000 optimizer.py:30(generic_visit)
      670    0.001    0.000    0.004    0.000 lexer.py:556(<genexpr>)
     2004    0.001    0.000    0.038    0.000 primary.py:128(match_feature)
      541    0.001    0.000    0.017    0.000 traits.py:313(_build_schema)
    11861    0.001    0.000    0.001    0.000 tree.py:61(__init__)
      220    0.001    0.000    0.025    0.000 reflections.py:455(on_indexer)
     6882    0.001    0.000    0.001    0.000 {method 'write' of '_io.StringIO' objects}
     9437    0.001    0.000    0.001    0.000 reflection.py:42(__init__)
      252    0.001    0.000    0.067    0.000 reflections.py:509(on_func_call)
     3020    0.001    0.000    0.001    0.000 reflection.py:389(extends)
     1605    0.001    0.000    0.093    0.000 traits.py:191(prop_of)
       58    0.001    0.000    0.045    0.001 compiler.py:826(visit_Template)
      975    0.001    0.000    0.008    0.000 primary.py:684(is_param)
     2562    0.001    0.000    0.896    0.000 reflections.py:331(resolve)
     1729    0.001    0.000    0.008    0.000 primary.py:32(value)
     3076    0.001    0.000    0.001    0.000 {built-in method builtins.max}
      389    0.001    0.000    0.018    0.000 query.py:166(factory)
      649    0.001    0.000    0.004    0.000 query.py:168(tester)
     6162    0.001    0.000    0.001    0.000 {method 'group' of 're.Match' objects}
     2525    0.001    0.000    0.007    0.000 utils.py:463(get)
      691    0.001    0.000    0.060    0.000 reflections.py:448(on_class_ref)
     2856    0.001    0.000    0.002    0.000 {built-in method builtins.any}
      541    0.001    0.000    0.029    0.000 traits.py:303(_build_helper)
    11861    0.001    0.000    0.001    0.000 tree.py:32(__init__)
      199    0.001    0.000    0.003    0.000 {method 'sort' of 'list' objects}
     1243    0.001    0.000    0.007    0.000 primary.py:754(in_decl_import)
     2448    0.001    0.000    0.002    0.000 lexer.py:81(to_regexp)
      378    0.001    0.000    0.001    0.000 parse_tree_builder.py:162(maybe_create_child_filter)
     2397    0.001    0.000    0.023    0.000 lexer.py:378(__next__)
     8588    0.001    0.000    0.001    0.000 reflection.py:358(via)
     4649    0.001    0.000    0.001    0.000 {built-in method from_iterable}
     1789    0.001    0.000    0.003    0.000 compiler.py:467(writeline)
     3903    0.001    0.000    0.001    0.000 {method 'count' of 'str' objects}
     3329    0.001    0.000    0.001    0.000 _parser.py:77(__init__)
      525    0.001    0.000    0.005    0.000 finder.py:206(__find_library_raw)
  524/500    0.001    0.000    0.007    0.000 parser.py:644(parse_primary)
     2455    0.001    0.000    0.001    0.000 {method 'translate' of 'str' objects}
      525    0.001    0.000    0.003    0.000 finder.py:184(__find_imported_raw)
      838    0.001    0.000    0.039    0.000 reflection.py:206(__eq__)
     2453    0.001    0.000    0.001    0.000 <string>:1(<lambda>)
      631    0.001    0.000    0.007    0.000 element.py:57(arguments)
     2330    0.001    0.000    0.001    0.000 __init__.py:1031(__bool__)
     2455    0.001    0.000    0.001    0.000 __init__.py:255(escape)
     1099    0.001    0.000    0.037    0.000 primary.py:97(match_feature)
      127    0.001    0.000    0.325    0.003 py2cpp.py:393(proc_move_assign_single)
     2460    0.001    0.000    0.001    0.000 {built-in method _abc._abc_instancecheck}
       58    0.001    0.000    0.004    0.000 nodes.py:229(set_environment)
      541    0.001    0.000    0.001    0.000 template.py:350(__resolve_injector)
     1055    0.001    0.000    0.001    0.000 module.py:61(expand_elements)
     3462    0.001    0.000    0.001    0.000 lexer.py:394(_regexp_has_newline)
       12    0.001    0.000    0.081    0.007 cache.py:167(load_cache)
     1182    0.001    0.000    0.011    0.000 element.py:52(path)
      528    0.001    0.000    0.002    0.000 path.py:154(relativefy)
1096/1095    0.001    0.000    0.001    0.000 typing.py:1136(__call__)
       56    0.001    0.000    0.001    0.000 {built-in method _hashlib.openssl_md5}
     2460    0.001    0.000    0.001    0.000 <frozen abc>:117(__instancecheck__)
      764    0.001    0.000    0.039    0.000 reflection.py:81(context)
     3365    0.001    0.000    0.001    0.000 _parser.py:172(__setitem__)
     2525    0.001    0.000    0.001    0.000 {method '__exit__' of '_thread.lock' objects}
      236    0.001    0.000    0.001    0.000 lexer.py:290(test_any)
  511/356    0.001    0.000    0.013    0.000 parser.py:626(parse_unary)
     6425    0.001    0.000    0.001    0.000 reflection.py:90(attrs)
     1262    0.001    0.000    0.001    0.000 argument.j2:4(root)
     6174    0.001    0.000    0.001    0.000 node.py:464(match_feature)
      312    0.001    0.000    0.005    0.000 finder.py:143(__find_raw_for_type)
      109    0.001    0.000    0.086    0.001 py2cpp.py:932(proc_binary_operator)
     1147    0.001    0.000    0.022    0.000 primary.py:141(match_feature)
      520    0.001    0.000    0.045    0.000 statement_simple.py:11(receivers)
  474/330    0.001    0.000    0.015    0.000 parser.py:561(parse_compare)
      238    0.000    0.000    0.001    0.000 {method 'decode' of 'bytes' objects}
     2330    0.000    0.000    0.000    0.000 render.py:57(__indentation)
      631    0.000    0.000    0.019    0.000 py2cpp.py:469(on_argument)
     1218    0.000    0.000    0.001    0.000 i18n.py:35(t)
     1155    0.000    0.000    0.001    0.000 translation.py:4(alias_dsn)
      914    0.000    0.000    0.001    0.000 db.py:32(__setitem__)
       95    0.000    0.000    0.082    0.001 py2cpp.py:600(analyze_indexer_spec)
      192    0.000    0.000    0.001    0.000 runtime.py:260(call)
       73    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
     1331    0.000    0.000    0.001    0.000 serializer.py:98(<lambda>)
     1099    0.000    0.000    0.012    0.000 primary.py:88(match_feature)
     2563    0.000    0.000    0.000    0.000 {built-in method _functools.cmp_to_key}
      978    0.000    0.000    0.007    0.000 primary.py:176(match_feature)
     1961    0.000    0.000    0.001    0.000 lexer.py:365(next_if)
     1686    0.000    0.000    0.006    0.000 primary.py:472(calls)
        1    0.000    0.000    0.001    0.001 parse_tree_builder.py:358(create_callback)
     1961    0.000    0.000    0.002    0.000 lexer.py:374(skip_if)
       93    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:1590(find_spec)
      336    0.000    0.000    0.018    0.000 parser.py:678(parse_tuple)
       13    0.000    0.000    0.000    0.000 {built-in method nt._path_exists}
