         11830273 function calls (11535543 primitive calls) in 2.844 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      146    0.000    0.000    0.020    0.000 py2cpp.py:498(on_class_ref)
    51426    0.013    0.000    0.019    0.000 module.py:54(fullyname)
       21    0.000    0.000    0.019    0.001 py2cpp.py:163(unpack_function_template_types)
    41014    0.008    0.000    0.018    0.000 di.py:133(__find_symbol)
     6313    0.002    0.000    0.018    0.000 primary.py:28(value)
     2812    0.018    0.000    0.018    0.000 _compiler.py:405(_generate_overlap_table)
   216577    0.018    0.000    0.018    0.000 node.py:86(full_path)
     1235    0.000    0.000    0.018    0.000 reflections.py:311(force_unpack_nullable)
     2955    0.002    0.000    0.018    0.000 reflections.py:43(is_a)
       18    0.000    0.000    0.017    0.001 py2cpp.py:737(on_term)
       21    0.000    0.000    0.017    0.001 template.py:159(templates)
       68    0.000    0.000    0.017    0.000 operator.py:16(operator)
    20507    0.003    0.000    0.017    0.000 di.py:19(can_resolve)
       58    0.000    0.000    0.017    0.000 symbol_extends.py:85(<lambda>)
   118630    0.016    0.000    0.016    0.000 cache.py:18(exists)
    10640    0.004    0.000    0.016    0.000 finder.py:122(__find_raw)
      227    0.000    0.000    0.016    0.000 literal.py:29(match_feature)
      236    0.000    0.000    0.016    0.000 terminal.py:8(match_terminal)
    74/54    0.000    0.000    0.016    0.000 parser.py:165(parse_statement)
       58    0.000    0.000    0.016    0.000 symbol_extends.py:134(extends_for_var)
      494    0.000    0.000    0.015    0.000 node.py:388(_under_expand)
      494    0.001    0.000    0.015    0.000 query.py:161(expand)
     2813    0.001    0.000    0.015    0.000 path.py:52(escaped_origin)
   136611    0.015    0.000    0.015    0.000 {method 'get' of 'dict' objects}
9803/7636    0.002    0.000    0.015    0.000 {built-in method builtins.next}
     5769    0.003    0.000    0.014    0.000 path.py:146(de_identify)
      356    0.001    0.000    0.014    0.000 query.py:173(factory)
    20507    0.005    0.000    0.014    0.000 di.py:83(resolve)
    11229    0.007    0.000    0.014    0.000 finder.py:158(__each_find_raw)
     3221    0.001    0.000    0.014    0.000 primary.py:201(prop)
     1152    0.001    0.000    0.013    0.000 node.py:251(__ast_order)
    20507    0.004    0.000    0.013    0.000 di.py:32(__inner_binded)
       16    0.000    0.000    0.013    0.001 reflections.py:342(on_for_in)
       93    0.000    0.000    0.013    0.000 statement_compound.py:242(_org_statements)
      124    0.000    0.000    0.013    0.000 primary.py:466(iterates)
        5    0.000    0.000    0.013    0.003 reflections.py:574(on_comparison)
     1836    0.000    0.000    0.013    0.000 lexer.py:378(__next__)
     4297    0.001    0.000    0.013    0.000 primary.py:208(domain_name)
       30    0.000    0.000    0.013    0.000 statement_compound.py:229(comment)
       21    0.000    0.000    0.012    0.001 py2cpp.py:719(on_comparison)
     1394    0.005    0.000    0.012    0.000 {built-in method builtins.sorted}
       46    0.000    0.000    0.012    0.000 statement_compound.py:61(statements)
    39/36    0.000    0.000    0.012    0.000 parser.py:253(parse_if)
    10096    0.006    0.000    0.012    0.000 typing.py:1487(__getitem__)
     1833    0.002    0.000    0.012    0.000 lexer.py:613(wrap)
    10411    0.008    0.000    0.011    0.000 di.py:193(__pluck_annotations)
     4861    0.001    0.000    0.011    0.000 literal.py:58(plain)
