python -m unittest tests.unit.rogw.tranp.implements.cpp.transpiler.test_py2cpp --
         6714292 function calls (6403354 primitive calls) in 2.408 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     3020    0.004    0.000    0.004    0.000 {method 'remove' of 'collections.deque' objects}
       99    0.004    0.000    0.004    0.000 {method 'read' of '_io.BufferedReader' objects}
 2302/526    0.004    0.000    0.016    0.000 visitor.py:61(generic_visit)
     4130    0.004    0.000    0.006    0.000 trait.py:86(implements)
    22234    0.004    0.000    0.004    0.000 eventemitter.py:67(observed)
     2759    0.004    0.000    0.291    0.000 node.py:255(__prop_expand)
    11639    0.004    0.000    0.005    0.000 lexer.py:277(test)
    24250    0.004    0.000    0.004    0.000 {method 'lower' of 'str' objects}
13725/6492    0.004    0.000    0.053    0.000 {built-in method builtins.next}
     4942    0.004    0.000    0.035    0.000 statement_compound.py:351(_dig_embedder)
  474/289    0.004    0.000    0.091    0.000 py2cpp.py:158(to_accessible_name)
      458    0.004    0.000    0.004    0.000 {built-in method nt.stat}
        1    0.004    0.004    0.007    0.007 lalr_analysis.py:60(deserialize)
     4130    0.003    0.000    0.010    0.000 reflection.py:201(impl)
      506    0.003    0.000    0.012    0.000 template.py:284(_normalize_props)
    17760    0.003    0.000    0.003    0.000 db.py:18(__getitem__)
    15527    0.003    0.000    0.005    0.000 node.py:415(as_a)
    15320    0.003    0.000    0.003    0.000 {method 'update' of 'dict' objects}
    16000    0.003    0.000    0.003    0.000 {built-in method __new__ of type object at 0x00007FFDF61828A0}
  413/151    0.003    0.000    0.090    0.001 parser.py:988(subparse)
   9000/9    0.003    0.000    0.010    0.001 utils.py:35(_deserialize)
      476    0.003    0.000    0.005    0.000 template.py:50(__init__)
    15303    0.003    0.000    0.005    0.000 node.py:405(is_a)
 2302/526    0.003    0.000    0.017    0.000 optimizer.py:31(generic_visit)
        1    0.003    0.003    0.003    0.003 {built-in method _pickle.load}
    48282    0.003    0.000    0.003    0.000 typing.py:2371(cast)
     4757    0.003    0.000    0.013    0.000 path.py:146(de_identify)
     5665    0.003    0.000    0.020    0.000 statement_compound.py:305(decorators)
    23751    0.003    0.000    0.003    0.000 entry.py:37(has_child)
     4736    0.003    0.000    0.078    0.000 node.py:173(parent)
    23786    0.003    0.000    0.003    0.000 {built-in method builtins.setattr}
    23582    0.003    0.000    0.003    0.000 {method 'startswith' of 'str' objects}
     4946    0.003    0.000    0.004    0.000 procedure.py:260(__stack_pop)
     3643    0.003    0.000    0.295    0.000 environment.py:953(_load_template)
     3761    0.003    0.000    0.004    0.000 path.py:21(identify)
     4774    0.003    0.000    0.005    0.000 procedure.py:248(__is_prop_list_by)
     8908    0.003    0.000    0.004    0.000 resolver.py:96(resolve)
     4736    0.003    0.000    0.074    0.000 query.py:66(parent)
     2810    0.003    0.000    0.072    0.000 statement_compound.py:524(symbol)
      324    0.003    0.000    0.161    0.000 py2cpp.py:700(on_relay)
